Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,MaxTrends_movie,MaxTrends_Actor,MaxTrends_Director,Corrected_Gross
uri  the surgical strike,2018,UA,138 min,"Action, Drama, War",8.2,,aditya dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,43444,4186168,377100,402145,107800,4878808
the florida project,2017,A,111 min,Drama,7.6,92.0,sean baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera,95181,5904366,364706,110729,20500,7049372
beasts of no nation,2015,,137 min,"Drama, War",7.7,79.0,cary joji fukunaga,Abraham Attah,Emmanuel Affadzi,Ricky Adelayitor,Andrew Adote,73964,83861,362400,152168,22666,103546
x-men  days of future past,2014,UA,132 min,"Action, Adventure, Sci-Fi",7.9,75.0,bryan singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,659763,233921534,357000,255925,413471,289175733
the hobbit  an unexpected journey,2012,UA,169 min,"Adventure, Fantasy",7.8,58.0,peter jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,757377,303003568,338500,124623,1164166,386227467
sing street,2016,PG-13,106 min,"Comedy, Drama, Music",7.9,79.0,john carney,Ferdia Walsh-Peelo,Aidan Gillen,Maria Doyle Kennedy,Jack Reynor,85109,3237118,305428,53658,16908,3947213
harry potter and the deathly hallows  part 1,2010,A,146 min,"Adventure, Family, Fantasy",7.7,65.0,david yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy,479120,295983305,299266,202643,21459,397241965
la piel que habito,2011,R,120 min,"Drama, Horror, Thriller",7.6,70.0,pedro almodóvar,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,138959,3185812,290100,91687,56200,4144873
me and earl and the dying girl,2015,PG-13,105 min,"Comedy, Drama",7.7,74.0,alfonso gomez-rejon,Thomas Mann,RJ Cyler,Olivia Cooke,Nick Offerman,123210,6743776,272200,78215,12233,8326827
udaan,2010,UA,134 min,Drama,8.2,,vikramaditya motwane,Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor,42341,7461,270657,152607,5105,10013
the peanut butter falcon,2019,PG-13,97 min,"Adventure, Comedy, Drama",7.6,70.0,tyler nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson,66346,13122642,226850,100849,0,15021715
hunt for the wilderpeople,2016,UA,101 min,"Adventure, Comedy, Drama",7.9,81.0,taika waititi,Sam Neill,Julian Dennison,Rima Te Wiata,Rachel House,111483,5202582,187962,115147,294255,6343821
spider-man  into the spider-verse,2018,U,117 min,"Animation, Action, Adventure",8.4,87.0,bob persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,375110,190241310,180135,152726,12816,221718512
incendies,2010,R,131 min,"Drama, Mystery, War",8.3,80.0,denis villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel,150023,6857096,160927,156845,22330,9202972
the lunchbox,2013,U,104 min,"Drama, Romance",7.8,76.0,ritesh batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,50523,4231500,159792,45272,6161,5315872
baahubali 2  the conclusion,2017,UA,167 min,"Action, Drama",8.2,,s.s. rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,75348,20186659,155200,75009,183475,24101365
flipped,2010,PG,90 min,"Comedy, Drama, Romance",7.7,45.0,rob reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards,81446,1752214,151667,202643,101484,2351662
wreck-it ralph,2012,U,101 min,"Animation, Adventure, Comedy",7.7,72.0,rich moore,John C. Reilly,Jack McBrayer,Jane Lynch,Sarah Silverman,380195,189422889,145487,104422,12486,241450367
what we do in the shadows,2014,R,86 min,"Comedy, Horror",7.7,76.0,jemaine clement,Taika Waititi,Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer,157498,3333000,137578,96097,65185,4120282
le petit prince,2015,PG,108 min,"Animation, Adventure, Drama",7.7,70.0,mark osborne,Jeff Bridges,Mackenzie Foy,Rachel McAdams,Marion Cotillard,56720,1339152,136842,202643,9735,1653508
le passé,2013,PG-13,130 min,"Drama, Mystery",7.8,85.0,asghar farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,45002,1330596,112863,114091,38566,1671577
detachment,2011,,98 min,Drama,7.7,52.0,tony kaye,Adrien Brody,Christina Hendricks,Marcia Gay Harden,Lucy Liu,77071,71177,107502,161442,8025,92604
i  daniel blake,2016,UA,100 min,Drama,7.9,78.0,ken loach,Laura Obiols,Dave Johns,Hayley Squires,Sharon Percy,53818,258168,99500,202643,78504,314799
kingsman  the secret service,2014,A,129 min,"Action, Adventure, Comedy",7.7,60.0,matthew vaughn,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,590440,128261724,90839,168515,77100,158558203
short term 12,2013,R,96 min,Drama,8.0,82.0,destin daniel cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,81770,1010414,90200,202643,4625,1269344
la migliore offerta,2013,R,131 min,"Crime, Drama, Mystery",7.8,49.0,giuseppe tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,108399,85433,89117,202643,6866,107326
kaze tachinu,2013,PG-13,126 min,"Animation, Biography, Drama",7.8,83.0,hayao miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,73690,5209580,56133,53223,176447,6544596
